Team,TSHOT MP,TSHOT FG%,TSHOT Dist.,TSHOT 2P %OF,TSHOT 0-3 %OF,TSHOT 3-10 %OF,TSHOT 10-16 %OF,TSHOT 16-3P %OF,TSHOT 3P %OF,TSHOT 2P FG%,TSHOT 0-3 FG%,TSHOT 3-10 FG%,TSHOT 10-16 FG%,TSHOT 16-3P FG%,TSHOT 3P FG%,TSHOT 2P AST,TSHOT 3P AST,TSHOT %FGA DUNK,TSHOT Md. DUNK,TSHOT %FGA LAY,TSHOT Md. LAY,TSHOT %3PA CORN,TSHOT 3P% CORN,TSHOT Att. HEAVE,TSHOT Md. HEAVE
Atlanta Hawks,19855,0.483,13.3,0.669,0.254,0.188,0.135,0.092,0.331,0.548,0.698,0.442,0.486,0.438,0.352,0.495,0.765,0.065,455,0.245,1039,0.267,0.362,8,0
Boston Celtics,19980,0.475,15.5,0.52,0.214,0.194,0.065,0.048,0.48,0.567,0.73,0.465,0.461,0.391,0.377,0.513,0.825,0.051,337,0.276,1183,0.224,0.402,12,0
Brooklyn Nets,19730,0.487,14.6,0.603,0.222,0.177,0.122,0.082,0.397,0.559,0.701,0.459,0.489,0.494,0.378,0.525,0.82,0.059,373,0.222,891,0.243,0.392,6,0
Chicago Bulls,19905,0.49,13.6,0.667,0.281,0.146,0.116,0.125,0.333,0.555,0.683,0.474,0.464,0.446,0.361,0.474,0.886,0.054,329,0.273,1163,0.262,0.397,4,0
Charlotte Hornets,19830,0.457,13.1,0.64,0.287,0.208,0.087,0.058,0.36,0.528,0.688,0.384,0.439,0.385,0.33,0.536,0.817,0.073,482,0.287,1149,0.261,0.354,10,0
Cleveland Cavaliers,19880,0.488,13.4,0.629,0.282,0.198,0.094,0.055,0.371,0.559,0.715,0.442,0.447,0.374,0.367,0.551,0.726,0.085,543,0.242,992,0.241,0.367,12,0
Dallas Mavericks,19930,0.475,15.6,0.513,0.218,0.169,0.08,0.046,0.487,0.574,0.708,0.499,0.47,0.396,0.371,0.448,0.776,0.05,304,0.226,937,0.271,0.403,26,1
Denver Nuggets,19755,0.504,13.4,0.639,0.262,0.216,0.083,0.078,0.361,0.575,0.759,0.475,0.399,0.422,0.379,0.604,0.819,0.081,518,0.282,1200,0.255,0.4,27,2
Detroit Pistons,19805,0.454,13.9,0.628,0.22,0.227,0.112,0.069,0.372,0.516,0.676,0.433,0.43,0.413,0.351,0.475,0.843,0.061,404,0.253,959,0.266,0.373,13,0
Golden State Warriors,19830,0.479,16,0.521,0.177,0.21,0.069,0.065,0.479,0.564,0.71,0.54,0.407,0.413,0.385,0.606,0.828,0.056,374,0.273,1213,0.199,0.395,23,1
Houston Rockets,19755,0.457,13,0.641,0.259,0.262,0.07,0.049,0.359,0.53,0.678,0.436,0.448,0.366,0.327,0.477,0.766,0.084,523,0.324,1229,0.173,0.361,14,0
Indiana Pacers,19755,0.469,14,0.587,0.271,0.19,0.08,0.045,0.413,0.54,0.68,0.427,0.415,0.402,0.367,0.554,0.827,0.049,326,0.31,1269,0.225,0.387,18,2
Los Angeles Clippers,19830,0.477,14.5,0.613,0.221,0.19,0.11,0.092,0.387,0.539,0.692,0.475,0.45,0.408,0.381,0.467,0.838,0.063,391,0.234,918,0.249,0.406,16,1
Los Angeles Lakers,19880,0.482,13.2,0.649,0.261,0.214,0.095,0.079,0.351,0.555,0.728,0.46,0.425,0.397,0.346,0.502,0.849,0.065,429,0.305,1315,0.238,0.369,8,0
Memphis Grizzlies,19780,0.475,13,0.628,0.273,0.224,0.099,0.033,0.372,0.548,0.688,0.446,0.447,0.386,0.351,0.504,0.837,0.058,387,0.286,1250,0.245,0.376,15,1
Miami Heat,19805,0.46,14.6,0.592,0.199,0.218,0.122,0.053,0.408,0.54,0.684,0.479,0.471,0.408,0.344,0.517,0.816,0.047,289,0.229,917,0.263,0.37,8,0
Milwaukee Bucks,19830,0.473,15.3,0.554,0.236,0.156,0.091,0.071,0.446,0.557,0.724,0.443,0.429,0.417,0.368,0.489,0.819,0.052,351,0.25,1103,0.23,0.379,11,0
Minnesota Timberwolves,19830,0.49,13.2,0.619,0.285,0.208,0.075,0.051,0.381,0.568,0.723,0.439,0.451,0.399,0.365,0.539,0.79,0.067,436,0.297,1256,0.241,0.395,20,0
New Orleans Pelicans,19855,0.48,13.1,0.656,0.259,0.231,0.1,0.066,0.344,0.541,0.698,0.445,0.482,0.347,0.364,0.517,0.894,0.064,408,0.292,1180,0.23,0.367,18,0
New York Knicks,19955,0.47,13.6,0.6,0.266,0.196,0.096,0.043,0.4,0.547,0.679,0.46,0.424,0.404,0.354,0.428,0.82,0.066,425,0.246,1021,0.272,0.382,9,0
Oklahoma City Thunder,19855,0.465,13.1,0.631,0.276,0.217,0.096,0.043,0.369,0.53,0.658,0.413,0.469,0.424,0.356,0.444,0.879,0.047,320,0.325,1349,0.203,0.4,12,0
Orlando Magic,19780,0.47,13.5,0.639,0.249,0.221,0.094,0.076,0.361,0.539,0.713,0.44,0.427,0.398,0.346,0.47,0.858,0.064,395,0.297,1182,0.213,0.415,9,0
Philadelphia 76ers,19880,0.487,14,0.611,0.255,0.192,0.11,0.054,0.389,0.551,0.698,0.431,0.461,0.473,0.387,0.525,0.82,0.045,266,0.277,1120,0.26,0.404,13,0
Phoenix Suns,19780,0.467,14.3,0.638,0.194,0.203,0.159,0.083,0.362,0.52,0.693,0.442,0.46,0.424,0.374,0.562,0.856,0.047,306,0.205,847,0.291,0.421,13,0
Portland Trail Blazers,19730,0.474,14.2,0.587,0.291,0.164,0.069,0.063,0.413,0.55,0.673,0.434,0.438,0.411,0.365,0.509,0.786,0.059,361,0.28,1154,0.206,0.366,9,0
Sacramento Kings,19830,0.494,14.3,0.577,0.246,0.201,0.08,0.05,0.423,0.586,0.742,0.488,0.437,0.45,0.369,0.505,0.888,0.06,390,0.264,1180,0.229,0.397,9,0
San Antonio Spurs,19855,0.465,13.1,0.652,0.258,0.23,0.112,0.053,0.348,0.529,0.679,0.442,0.412,0.425,0.345,0.53,0.924,0.04,265,0.303,1339,0.216,0.367,18,0
Toronto Raptors,19805,0.459,13.6,0.649,0.244,0.224,0.097,0.085,0.351,0.525,0.696,0.444,0.407,0.384,0.335,0.482,0.83,0.065,436,0.259,1091,0.267,0.363,22,0
Utah Jazz,19805,0.473,14.3,0.579,0.204,0.265,0.073,0.037,0.421,0.56,0.707,0.498,0.439,0.439,0.353,0.5,0.854,0.071,460,0.274,1144,0.22,0.413,16,0
Washington Wizards,19755,0.485,14.2,0.635,0.211,0.243,0.106,0.075,0.365,0.559,0.759,0.47,0.459,0.428,0.356,0.508,0.862,0.059,377,0.272,1118,0.215,0.399,16,2
League Average,19826,0.475,14,0.613,0.246,0.206,0.097,0.064,0.387,0.548,0.701,0.454,0.447,0.414,0.361,0.509,0.83,0.06,389,0.271,1124,0.239,0.387,13.8,0.3
